origem,total_leads,taxa_conversao,deposito_medio
Blog/SEO,4,1.0,4294.65
E-mail Marketing,14,0.5,2080.7321428571427
Facebook,44,0.7045454545454546,4069.4809090909093
Google Ads,37,0.5945945945945946,2742.562972972973
Indicação,6,0.6666666666666666,2263.5983333333334
Instagram,42,0.6904761904761905,3692.626666666667
LinkedIn,21,0.7142857142857143,2957.02
Orgânico,43,0.7441860465116279,3788.5281395348834
TikTok,34,0.5294117647058824,2616.2964705882355
Twitter,13,0.38461538461538464,1784.4753846153847
WhatsApp,20,0.6,3050.417
YouTube Ads,22,0.5454545454545454,2026.744090909091
