lead_id,origem,data_cadastro,status_conversao,dias_ate_1o_trade,valor_deposito,perfil,pais
210428,Instagram,2025-01-07,Não Convertido,,0.0,Moderado,Ukraine
210429,E-mail Marketing,2025-01-08,Não Convertido,,0.0,Agressivo,Burundi
210430,Instagram,2025-01-07,Não Convertido,,0.0,Moderado,Korea
210431,Orgânico,2025-01-10,Não Convertido,,0.0,Conservador,Turks and Caicos Islands
210432,YouTube Ads,2025-01-11,Não Convertido,,0.0,Conservador,Luxembourg
210433,E-mail Marketing,2025-01-07,Não Convertido,,0.0,Conservador,Hong Kong
210434,E-mail Marketing,2025-01-07,Não Convertido,,0.0,Desconhecido,Swaziland
210435,Facebook,2025-01-09,Não Convertido,,0.0,Moderado,Taiwan
210436,YouTube Ads,2025-01-11,Não Convertido,,0.0,Conservador,Burkina Faso
210437,Indicação,2025-01-06,Não Convertido,,0.0,Agressivo,Japan
210438,E-mail Marketing,2025-01-09,Não Convertido,,0.0,Agressivo,Uzbekistan
210439,E-mail Marketing,2025-01-06,Não Convertido,,0.0,Agressivo,Pakistan
210440,Google Ads,2025-01-11,Não Convertido,,0.0,Moderado,United States Virgin Islands
210441,YouTube Ads,2025-01-07,Não Convertido,,0.0,Moderado,Somalia
210442,TikTok,2025-01-07,Não Convertido,,0.0,Moderado,Cyprus
210443,Instagram,2025-01-08,Convertido,23.0,8103.73,Agressivo,Mali
210444,Orgânico,2025-01-11,Não Convertido,,0.0,Moderado,Chile
210445,Instagram,2025-01-09,Não Convertido,,0.0,Desconhecido,Venezuela
210446,TikTok,2025-01-10,Não Convertido,,0.0,Moderado,Papua New Guinea
210447,Indicação,2025-01-06,Não Convertido,,0.0,Desconhecido,Yemen
210448,Instagram,2025-01-06,Não Convertido,,0.0,Agressivo,American Samoa
210449,E-mail Marketing,2025-01-10,Não Convertido,,0.0,Agressivo,Pitcairn Islands
210450,Google Ads,2025-01-10,Não Convertido,,0.0,Conservador,Oman
210451,TikTok,2025-01-07,Não Convertido,,0.0,Conservador,Benin
210452,TikTok,2025-01-06,Convertido,30.0,6930.34,Agressivo,Saint Lucia
210453,Instagram,2025-01-08,Não Convertido,,0.0,Conservador,Mozambique
210454,TikTok,2025-01-06,Não Convertido,,0.0,Conservador,Trinidad and Tobago
210455,Orgânico,2025-01-11,Não Convertido,,0.0,Moderado,Haiti
210456,E-mail Marketing,2025-01-10,Não Convertido,,0.0,Moderado,North Macedonia
210457,Orgânico,2025-01-07,Não Convertido,,0.0,Moderado,Chad
210458,TikTok,2025-01-09,Não Convertido,,0.0,Moderado,Mauritania
210459,Indicação,2025-01-08,Não Convertido,,0.0,Agressivo,Antarctica (the territory South of 60 deg S)
210460,Indicação,2025-01-07,Não Convertido,,0.0,Conservador,Bangladesh
210461,YouTube Ads,2025-01-08,Não Convertido,,0.0,Moderado,Somalia
210462,Indicação,2025-01-07,Não Convertido,,0.0,Conservador,Haiti
210463,E-mail Marketing,2025-01-10,Não Convertido,,0.0,Conservador,Niger
210464,WhatsApp,2025-01-06,Não Convertido,,0.0,Conservador,French Polynesia
210465,Indicação,2025-01-06,Não Convertido,,0.0,Moderado,Solomon Islands
210466,Facebook,2025-01-11,Convertido,18.0,7210.36,Agressivo,Venezuela
210467,Orgânico,2025-01-08,Não Convertido,,0.0,Desconhecido,Netherlands Antilles
210468,Google Ads,2025-01-06,Não Convertido,,0.0,Conservador,Central African Republic
210469,Instagram,2025-01-09,Não Convertido,,0.0,Agressivo,British Virgin Islands
210470,Indicação,2025-01-10,Não Convertido,,0.0,Desconhecido,Georgia
210471,Orgânico,2025-01-06,Não Convertido,,0.0,Moderado,Bahamas
210472,Facebook,2025-01-07,Não Convertido,,0.0,Moderado,Namibia
210473,Orgânico,2025-01-07,Não Convertido,,0.0,Moderado,Eritrea
210474,Google Ads,2025-01-08,Não Convertido,,0.0,Moderado,Thailand
210475,Instagram,2025-01-09,Não Convertido,,0.0,Agressivo,Andorra
210476,Google Ads,2025-01-06,Não Convertido,,0.0,Conservador,Portugal
210477,Instagram,2025-01-11,Não Convertido,,0.0,Moderado,Equatorial Guinea
210478,Orgânico,2025-01-08,Não Convertido,,0.0,Desconhecido,Montenegro
210479,Orgânico,2025-01-11,Não Convertido,,0.0,Conservador,Dominican Republic
210480,TikTok,2025-01-07,Não Convertido,,0.0,Conservador,Faroe Islands
210481,Instagram,2025-01-07,Não Convertido,,0.0,Conservador,Equatorial Guinea
210482,Google Ads,2025-01-08,Não Convertido,,0.0,Agressivo,Isle of Man
210483,Instagram,2025-01-09,Não Convertido,,0.0,Agressivo,Lithuania
210484,Instagram,2025-01-11,Não Convertido,,0.0,Desconhecido,Kyrgyz Republic
210485,TikTok,2025-01-07,Não Convertido,,0.0,Moderado,Lebanon
210486,Indicação,2025-01-06,Não Convertido,,0.0,Desconhecido,Tanzania
210487,Facebook,2025-01-09,Não Convertido,,0.0,Agressivo,Timor-Leste
210488,Instagram,2025-01-08,Não Convertido,,0.0,Conservador,Barbados
210489,Instagram,2025-01-10,Não Convertido,,0.0,Moderado,Portugal
210490,YouTube Ads,2025-01-06,Convertido,2.0,5411.49,Conservador,Swaziland
210491,WhatsApp,2025-01-08,Convertido,19.0,9036.51,Moderado,Mauritius
210492,TikTok,2025-01-06,Não Convertido,,0.0,Agressivo,Lithuania
210493,Orgânico,2025-01-07,Convertido,20.0,250.71,Agressivo,Cyprus
210494,Instagram,2025-01-08,Não Convertido,,0.0,Moderado,New Zealand
210495,YouTube Ads,2025-01-11,Não Convertido,,0.0,Agressivo,British Indian Ocean Territory (Chagos Archipelago)
210496,Indicação,2025-01-11,Não Convertido,,0.0,Moderado,Bermuda
210497,Facebook,2025-01-11,Não Convertido,,0.0,Moderado,Saint Vincent and the Grenadines
210498,Orgânico,2025-01-07,Não Convertido,,0.0,Agressivo,Iraq
210499,TikTok,2025-01-08,Não Convertido,,0.0,Conservador,Oman
210500,WhatsApp,2025-01-10,Não Convertido,,0.0,Moderado,Gabon
210501,YouTube Ads,2025-01-08,Não Convertido,,0.0,Moderado,Singapore
210502,Facebook,2025-01-07,Não Convertido,,0.0,Agressivo,Dominica
210503,Instagram,2025-01-09,Não Convertido,,0.0,Agressivo,Equatorial Guinea
210504,E-mail Marketing,2025-01-08,Não Convertido,,0.0,Agressivo,Vanuatu
210505,Instagram,2025-01-07,Não Convertido,,0.0,Moderado,Mongolia
210506,Facebook,2025-01-06,Convertido,19.0,3696.6,Moderado,Liechtenstein
210507,YouTube Ads,2025-01-10,Não Convertido,,0.0,Moderado,Slovenia
210508,Google Ads,2025-01-08,Não Convertido,,0.0,Agressivo,Jordan
210509,Orgânico,2025-01-07,Convertido,29.0,9350.21,Agressivo,Saint Martin
210510,YouTube Ads,2025-01-11,Não Convertido,,0.0,Moderado,Benin
210511,Indicação,2025-01-11,Não Convertido,,0.0,Moderado,Chile
210512,E-mail Marketing,2025-01-11,Não Convertido,,0.0,Conservador,Indonesia
210513,YouTube Ads,2025-01-10,Não Convertido,,0.0,Moderado,Tonga
210514,TikTok,2025-01-10,Não Convertido,,0.0,Moderado,Trinidad and Tobago
210515,Google Ads,2025-01-08,Não Convertido,,0.0,Agressivo,Tonga
210516,Orgânico,2025-01-10,Não Convertido,,0.0,Moderado,Russian Federation
210517,Orgânico,2025-01-09,Não Convertido,,0.0,Moderado,Azerbaijan
210518,E-mail Marketing,2025-01-07,Não Convertido,,0.0,Moderado,Pitcairn Islands
210519,Orgânico,2025-01-08,Não Convertido,,0.0,Agressivo,Iceland
210520,Orgânico,2025-01-08,Não Convertido,,0.0,Moderado,Iraq
210521,Instagram,2025-01-10,Não Convertido,,0.0,Moderado,Greenland
210522,E-mail Marketing,2025-01-09,Não Convertido,,0.0,Agressivo,Samoa
210523,TikTok,2025-01-09,Não Convertido,,0.0,Moderado,Puerto Rico
210524,E-mail Marketing,2025-01-07,Não Convertido,,0.0,Moderado,Bouvet Island (Bouvetoya)
210525,Google Ads,2025-01-07,Não Convertido,,0.0,Agressivo,Tajikistan
210526,Instagram,2025-01-08,Não Convertido,,0.0,Conservador,Iceland
210527,WhatsApp,2025-01-09,Não Convertido,,0.0,Moderado,Kazakhstan
210528,Indicação,2025-01-06,Não Convertido,,0.0,Conservador,Saint Lucia
210529,Facebook,2025-01-06,Não Convertido,,0.0,Agressivo,Czech Republic
210530,TikTok,2025-01-10,Não Convertido,,0.0,Agressivo,Peru
210531,TikTok,2025-01-07,Convertido,2.0,2666.4,Desconhecido,Ecuador
210532,Google Ads,2025-01-06,Não Convertido,,0.0,Moderado,Lebanon
210533,E-mail Marketing,2025-01-08,Não Convertido,,0.0,Conservador,Niue
210534,Orgânico,2025-01-10,Não Convertido,,0.0,Moderado,Jersey
210535,Google Ads,2025-01-09,Não Convertido,,0.0,Moderado,Ecuador
210536,Instagram,2025-01-07,Não Convertido,,0.0,Moderado,French Southern Territories
210537,Google Ads,2025-01-10,Não Convertido,,0.0,Moderado,Estonia
210538,Google Ads,2025-01-11,Não Convertido,,0.0,Moderado,Puerto Rico
210539,Orgânico,2025-01-10,Não Convertido,,0.0,Moderado,Mali
210540,Google Ads,2025-01-11,Não Convertido,,0.0,Moderado,Trinidad and Tobago
210541,Google Ads,2025-01-07,Não Convertido,,0.0,Agressivo,Russian Federation
210542,Instagram,2025-01-11,Não Convertido,,0.0,Agressivo,Indonesia
210543,Facebook,2025-01-11,Não Convertido,,0.0,Moderado,Guam
210544,Indicação,2025-01-06,Não Convertido,,0.0,Agressivo,Bahamas
210545,YouTube Ads,2025-01-06,Não Convertido,,0.0,Moderado,Poland
210546,Instagram,2025-01-08,Não Convertido,,0.0,Moderado,Netherlands
210547,Orgânico,2025-01-06,Não Convertido,,0.0,Conservador,Swaziland
210548,Orgânico,2025-01-11,Não Convertido,,0.0,Agressivo,Peru
210549,WhatsApp,2025-01-08,Não Convertido,,0.0,Moderado,Thailand
210550,WhatsApp,2025-01-10,Não Convertido,,0.0,Moderado,Mayotte
210551,E-mail Marketing,2025-01-10,Não Convertido,,0.0,Conservador,Nigeria
210552,Instagram,2025-01-11,Não Convertido,,0.0,Agressivo,Germany
210553,Instagram,2025-01-06,Não Convertido,,0.0,Conservador,Nigeria
210554,Indicação,2025-01-10,Não Convertido,,0.0,Conservador,Nicaragua
210555,E-mail Marketing,2025-01-06,Não Convertido,,0.0,Moderado,Myanmar
210556,YouTube Ads,2025-01-08,Não Convertido,,0.0,Agressivo,Turkey
210557,Instagram,2025-01-11,Não Convertido,,0.0,Agressivo,Jamaica
210558,Instagram,2025-01-06,Não Convertido,,0.0,Agressivo,Saint Kitts and Nevis
210559,Orgânico,2025-01-10,Não Convertido,,0.0,Desconhecido,Kazakhstan
210560,Orgânico,2025-01-11,Não Convertido,,0.0,Conservador,Sri Lanka
210561,Orgânico,2025-01-10,Não Convertido,,0.0,Desconhecido,Isle of Man
210562,E-mail Marketing,2025-01-11,Convertido,9.0,5478.01,Agressivo,Uzbekistan
210563,Instagram,2025-01-09,Não Convertido,,0.0,Conservador,Saint Vincent and the Grenadines
210564,E-mail Marketing,2025-01-09,Não Convertido,,0.0,Agressivo,Nauru
210565,WhatsApp,2025-01-06,Não Convertido,,0.0,Moderado,Togo
210566,YouTube Ads,2025-01-08,Não Convertido,,0.0,Agressivo,Slovenia
210567,TikTok,2025-01-10,Não Convertido,,0.0,Agressivo,Chad
210568,YouTube Ads,2025-01-09,Não Convertido,,0.0,Agressivo,Sudan
210569,Orgânico,2025-01-10,Não Convertido,,0.0,Agressivo,Saint Pierre and Miquelon
210570,Indicação,2025-01-09,Não Convertido,,0.0,Agressivo,Sweden
210571,Orgânico,2025-01-06,Não Convertido,,0.0,Moderado,Micronesia
210572,WhatsApp,2025-01-10,Não Convertido,,0.0,Conservador,Netherlands Antilles
210573,Facebook,2025-01-10,Não Convertido,,0.0,Agressivo,Heard Island and McDonald Islands
210574,E-mail Marketing,2025-01-11,Não Convertido,,0.0,Conservador,Niger
210575,Instagram,2025-01-09,Não Convertido,,0.0,Desconhecido,Chile
210576,Facebook,2025-01-09,Não Convertido,,0.0,Conservador,Saint Martin
210577,YouTube Ads,2025-01-06,Não Convertido,,0.0,Agressivo,Iran
210578,TikTok,2025-01-07,Convertido,16.0,9964.44,Moderado,Niue
210579,Indicação,2025-01-11,Não Convertido,,0.0,Conservador,Netherlands Antilles
210580,Instagram,2025-01-10,Não Convertido,,0.0,Moderado,Tajikistan
210581,Orgânico,2025-01-08,Não Convertido,,0.0,Conservador,Germany
210582,Orgânico,2025-01-09,Não Convertido,,0.0,Moderado,Andorra
210583,WhatsApp,2025-01-08,Não Convertido,,0.0,Moderado,Tanzania
210584,Instagram,2025-01-09,Não Convertido,,0.0,Agressivo,Costa Rica
210585,Instagram,2025-01-09,Não Convertido,,0.0,Moderado,India
210586,Orgânico,2025-01-07,Não Convertido,,0.0,Desconhecido,Serbia
210587,Facebook,2025-01-08,Não Convertido,,0.0,Agressivo,Bahrain
210588,Google Ads,2025-01-10,Não Convertido,,0.0,Conservador,New Caledonia
210589,E-mail Marketing,2025-01-11,Não Convertido,,0.0,Agressivo,Gibraltar
210590,Orgânico,2025-01-08,Não Convertido,,0.0,Moderado,Greece
210591,Instagram,2025-01-08,Não Convertido,,0.0,Agressivo,Morocco
210592,Orgânico,2025-01-11,Não Convertido,,0.0,Conservador,Mozambique
210593,Orgânico,2025-01-09,Não Convertido,,0.0,Agressivo,Malta
210594,TikTok,2025-01-08,Não Convertido,,0.0,Agressivo,Moldova
210595,Instagram,2025-01-07,Não Convertido,,0.0,Conservador,Sierra Leone
210596,TikTok,2025-01-09,Não Convertido,,0.0,Conservador,Botswana
210597,TikTok,2025-01-07,Não Convertido,,0.0,Moderado,Lebanon
210598,Orgânico,2025-01-09,Não Convertido,,0.0,Desconhecido,Tokelau
210599,WhatsApp,2025-01-07,Não Convertido,,0.0,Agressivo,Equatorial Guinea
210600,Orgânico,2025-01-09,Não Convertido,,0.0,Agressivo,Fiji
210601,Orgânico,2025-01-10,Não Convertido,,0.0,Moderado,Bermuda
210602,Facebook,2025-01-09,Não Convertido,,0.0,Moderado,Cyprus
210603,TikTok,2025-01-08,Não Convertido,,0.0,Agressivo,Antigua and Barbuda
210604,TikTok,2025-01-08,Não Convertido,,0.0,Agressivo,Solomon Islands
210605,Instagram,2025-01-06,Não Convertido,,0.0,Conservador,Congo
210606,E-mail Marketing,2025-01-10,Não Convertido,,0.0,Moderado,French Southern Territories
210607,Facebook,2025-01-08,Não Convertido,,0.0,Conservador,American Samoa
210608,Google Ads,2025-01-10,Não Convertido,,0.0,Moderado,Saudi Arabia
210609,TikTok,2025-01-07,Não Convertido,,0.0,Agressivo,Botswana
210610,Facebook,2025-01-07,Não Convertido,,0.0,Moderado,Isle of Man
210611,TikTok,2025-01-10,Não Convertido,,0.0,Conservador,United States of America
210612,Facebook,2025-01-08,Não Convertido,,0.0,Agressivo,Cocos (Keeling) Islands
210613,Orgânico,2025-01-10,Não Convertido,,0.0,Moderado,Holy See (Vatican City State)
210614,E-mail Marketing,2025-01-11,Convertido,13.0,7106.83,Moderado,Croatia
210615,Facebook,2025-01-06,Não Convertido,,0.0,Moderado,Brunei Darussalam
210616,E-mail Marketing,2025-01-10,Não Convertido,,0.0,Moderado,Grenada
210617,WhatsApp,2025-01-10,Não Convertido,,0.0,Moderado,Mali
210618,Orgânico,2025-01-07,Não Convertido,,0.0,Conservador,San Marino
210619,Instagram,2025-01-11,Não Convertido,,0.0,Moderado,Israel
210620,YouTube Ads,2025-01-07,Não Convertido,,0.0,Moderado,Netherlands Antilles
210621,E-mail Marketing,2025-01-09,Não Convertido,,0.0,Desconhecido,Togo
210622,Instagram,2025-01-11,Não Convertido,,0.0,Conservador,United States Virgin Islands
210623,WhatsApp,2025-01-08,Não Convertido,,0.0,Agressivo,Dominica
210624,Instagram,2025-01-07,Não Convertido,,0.0,Moderado,Holy See (Vatican City State)
210625,TikTok,2025-01-06,Não Convertido,,0.0,Moderado,Germany
210626,TikTok,2025-01-08,Convertido,1.0,3813.83,Conservador,Angola
210627,WhatsApp,2025-01-09,Não Convertido,,0.0,Agressivo,Pitcairn Islands
210628,TikTok,2025-01-09,Não Convertido,,0.0,Desconhecido,Vanuatu
210629,Google Ads,2025-01-06,Não Convertido,,0.0,Conservador,Lithuania
210630,E-mail Marketing,2025-01-09,Não Convertido,,0.0,Moderado,Faroe Islands
210631,WhatsApp,2025-01-09,Não Convertido,,0.0,Moderado,Senegal
210632,Facebook,2025-01-08,Não Convertido,,0.0,Agressivo,Uruguay
210633,Facebook,2025-01-09,Não Convertido,,0.0,Moderado,Solomon Islands
210634,Google Ads,2025-01-08,Não Convertido,,0.0,Conservador,Puerto Rico
210635,Instagram,2025-01-11,Não Convertido,,0.0,Moderado,Reunion
210636,Orgânico,2025-01-10,Não Convertido,,0.0,Desconhecido,Lao People's Democratic Republic
210637,E-mail Marketing,2025-01-09,Não Convertido,,0.0,Agressivo,Turkmenistan
210638,YouTube Ads,2025-01-10,Não Convertido,,0.0,Desconhecido,Solomon Islands
210639,Instagram,2025-01-11,Não Convertido,,0.0,Moderado,Senegal
210640,TikTok,2025-01-10,Não Convertido,,0.0,Desconhecido,Saint Pierre and Miquelon
210641,TikTok,2025-01-10,Não Convertido,,0.0,Moderado,Finland
210642,TikTok,2025-01-10,Não Convertido,,0.0,Conservador,French Guiana
210643,Facebook,2025-01-07,Não Convertido,,0.0,Moderado,Costa Rica
210644,Orgânico,2025-01-07,Não Convertido,,0.0,Agressivo,Saint Kitts and Nevis
210645,YouTube Ads,2025-01-07,Não Convertido,,0.0,Moderado,Palestinian Territory
210646,Google Ads,2025-01-08,Não Convertido,,0.0,Moderado,Jamaica
210647,Facebook,2025-01-09,Não Convertido,,0.0,Moderado,Greenland
210648,Orgânico,2025-01-08,Não Convertido,,0.0,Agressivo,Tuvalu
210649,Google Ads,2025-01-11,Não Convertido,,0.0,Agressivo,Finland
210650,Facebook,2025-01-11,Não Convertido,,0.0,Agressivo,North Macedonia
210651,Instagram,2025-01-11,Não Convertido,,0.0,Agressivo,Uzbekistan
210652,Google Ads,2025-01-09,Convertido,11.0,6697.55,Agressivo,Palau
210653,Instagram,2025-01-11,Não Convertido,,0.0,Agressivo,Lithuania
210654,TikTok,2025-01-07,Não Convertido,,0.0,Conservador,Seychelles
210655,Google Ads,2025-01-08,Não Convertido,,0.0,Moderado,Swaziland
210656,Orgânico,2025-01-09,Não Convertido,,0.0,Moderado,Italy
210657,Instagram,2025-01-06,Não Convertido,,0.0,Agressivo,United States Virgin Islands
210658,Instagram,2025-01-06,Não Convertido,,0.0,Conservador,Namibia
210659,Google Ads,2025-01-07,Não Convertido,,0.0,Moderado,United Kingdom
210660,Facebook,2025-01-06,Não Convertido,,0.0,Conservador,Netherlands
210661,YouTube Ads,2025-01-06,Não Convertido,,0.0,Moderado,Niue
210662,Google Ads,2025-01-06,Convertido,15.0,6805.41,Conservador,Turks and Caicos Islands
210663,TikTok,2025-01-06,Não Convertido,,0.0,Agressivo,South Africa
210664,Instagram,2025-01-06,Não Convertido,,0.0,Agressivo,Belarus
210665,TikTok,2025-01-10,Não Convertido,,0.0,Agressivo,Cote d'Ivoire
210666,TikTok,2025-01-10,Não Convertido,,0.0,Moderado,Sweden
210667,TikTok,2025-01-11,Não Convertido,,0.0,Conservador,Nigeria
210668,Orgânico,2025-01-10,Não Convertido,,0.0,Agressivo,Canada
210669,Instagram,2025-01-10,Não Convertido,,0.0,Moderado,Mozambique
210670,E-mail Marketing,2025-01-09,Convertido,2.0,8072.45,Moderado,Liberia
210671,Google Ads,2025-01-09,Não Convertido,,0.0,Agressivo,Qatar
210672,Instagram,2025-01-10,Não Convertido,,0.0,Moderado,Cuba
210673,Instagram,2025-01-06,Não Convertido,,0.0,Moderado,Saint Martin
210674,Google Ads,2025-01-10,Não Convertido,,0.0,Agressivo,Croatia
210675,TikTok,2025-01-07,Não Convertido,,0.0,Desconhecido,Sierra Leone
210676,Facebook,2025-01-06,Não Convertido,,0.0,Agressivo,Nepal
210677,Orgânico,2025-01-10,Não Convertido,,0.0,Agressivo,Nepal
210678,TikTok,2025-01-10,Não Convertido,,0.0,Moderado,Isle of Man
210679,TikTok,2025-01-06,Não Convertido,,0.0,Agressivo,Iraq
210680,Google Ads,2025-01-06,Não Convertido,,0.0,Agressivo,Falkland Islands (Malvinas)
210681,E-mail Marketing,2025-01-08,Não Convertido,,0.0,Conservador,Morocco
210682,Instagram,2025-01-11,Não Convertido,,0.0,Moderado,Morocco
