lead_id,origem,data_cadastro,status_conversao,dias_ate_1o_trade,valor_deposito,perfil,pais,foi_convertido,ano_mes_cadastro
2001,Orgânico,2025-03-29,Não Convertido,,0.0,,Brasil,False,2025-03
2002,Instagram,2025-03-10,Não Convertido,,0.0,,Portugal,False,2025-03
2003,Orgânico,2025-02-20,Convertido,6.0,7985.78,Scalper,Espanha,True,2025-02
2004,Facebook,2025-03-13,Convertido,7.0,6026.72,Investidor,Brasil,True,2025-03
2005,Orgânico,2025-01-28,Convertido,6.0,4513.74,Investidor,Espanha,True,2025-01
2006,TikTok,2025-01-22,Convertido,6.0,675.03,Trader,Argentina,True,2025-01
2007,E-mail Marketing,2025-01-22,Não Convertido,,0.0,,Portugal,False,2025-01
2008,Google Ads,2025-01-23,Convertido,7.0,3403.72,Iniciante,Portugal,True,2025-01
2009,Facebook,2025-04-15,Convertido,7.0,7109.92,Iniciante,Argentina,True,2025-04
2010,Orgânico,2025-03-03,Não Convertido,,0.0,,Brasil,False,2025-03
2011,YouTube Ads,2025-01-28,Convertido,5.0,658.47,Iniciante,Argentina,True,2025-01
2012,WhatsApp,2025-02-10,Não Convertido,,0.0,,Espanha,False,2025-02
2013,Google Ads,2025-04-11,Não Convertido,,0.0,,Portugal,False,2025-04
2014,Facebook,2025-03-25,Não Convertido,,0.0,,Portugal,False,2025-03
2015,Indicação,2025-03-10,Não Convertido,,0.0,,Portugal,False,2025-03
2016,Google Ads,2025-04-05,Convertido,7.0,8341.18,Iniciante,Argentina,True,2025-04
2017,Instagram,2025-03-12,Convertido,5.0,107.71,Iniciante,México,True,2025-03
2018,Orgânico,2025-01-30,Convertido,4.0,6213.07,High Roller,Brasil,True,2025-01
2019,YouTube Ads,2025-03-18,Convertido,9.0,5295.09,Scalper,Portugal,True,2025-03
2020,Instagram,2025-01-21,Convertido,8.0,2983.17,Iniciante,Espanha,True,2025-01
2021,WhatsApp,2025-03-26,Convertido,9.0,561.99,Trader,Brasil,True,2025-03
2022,WhatsApp,2025-01-26,Convertido,2.0,3886.37,High Roller,Argentina,True,2025-01
2023,LinkedIn,2025-03-07,Não Convertido,,0.0,,Espanha,False,2025-03
2024,Google Ads,2025-04-11,Convertido,3.0,5964.9,Scalper,Argentina,True,2025-04
2025,Instagram,2025-03-25,Convertido,2.0,8613.41,Investidor,Portugal,True,2025-03
2026,YouTube Ads,2025-02-15,Convertido,6.0,1788.19,Investidor,Espanha,True,2025-02
