lead_id,origem,data_cadastro,status_conversao,dias_ate_1o_trade,valor_deposito,perfil,pais
62057,Indicação,2024-01-13,Não Convertido,,0.0,Agressivo,Mali
62058,YouTube Ads,2024-01-11,Não Convertido,,0.0,Moderado,French Southern Territories
62059,Indicação,2024-01-10,Não Convertido,,0.0,Conservador,Burkina Faso
62060,YouTube Ads,2024-01-11,Não Convertido,,0.0,Agressivo,Christmas Island
62061,Indicação,2024-01-11,Não Convertido,,0.0,Moderado,Isle of Man
62062,WhatsApp,2024-01-10,Não Convertido,,0.0,Agressivo,Uruguay
62063,Facebook,2024-01-09,Não Convertido,,0.0,Moderado,Madagascar
62064,Instagram,2024-01-12,Não Convertido,,0.0,Agressivo,Egypt
62065,Instagram,2024-01-11,Não Convertido,,0.0,Agressivo,Singapore
62066,YouTube Ads,2024-01-13,Não Convertido,,0.0,Agressivo,Saint Vincent and the Grenadines
62067,Orgânico,2024-01-13,Não Convertido,,0.0,Desconhecido,Togo
62068,Orgânico,2024-01-13,Não Convertido,,0.0,Agressivo,Jersey
62069,Instagram,2024-01-09,Não Convertido,,0.0,Moderado,Pakistan
62070,WhatsApp,2024-01-08,Não Convertido,,0.0,Conservador,Mauritius
62071,Google Ads,2024-01-09,Não Convertido,,0.0,Agressivo,Antarctica (the territory South of 60 deg S)
62072,YouTube Ads,2024-01-13,Não Convertido,,0.0,Moderado,India
62073,YouTube Ads,2024-01-09,Não Convertido,,0.0,Conservador,Solomon Islands
62074,E-mail Marketing,2024-01-13,Não Convertido,,0.0,Moderado,Hungary
62075,Orgânico,2024-01-11,Não Convertido,,0.0,Desconhecido,Chad
62076,Orgânico,2024-01-08,Não Convertido,,0.0,Conservador,Saint Vincent and the Grenadines
62077,TikTok,2024-01-12,Não Convertido,,0.0,Agressivo,Malawi
62078,E-mail Marketing,2024-01-10,Não Convertido,,0.0,Conservador,Haiti
62079,E-mail Marketing,2024-01-09,Não Convertido,,0.0,Desconhecido,Saint Vincent and the Grenadines
62080,Instagram,2024-01-09,Não Convertido,,0.0,Moderado,Guam
62081,YouTube Ads,2024-01-12,Não Convertido,,0.0,Desconhecido,French Guiana
62082,Google Ads,2024-01-08,Não Convertido,,0.0,Moderado,United States of America
62083,Instagram,2024-01-13,Não Convertido,,0.0,Agressivo,Congo
62084,Google Ads,2024-01-10,Não Convertido,,0.0,Moderado,Belize
62085,Google Ads,2024-01-13,Não Convertido,,0.0,Agressivo,Heard Island and McDonald Islands
62086,Facebook,2024-01-08,Não Convertido,,0.0,Moderado,Indonesia
62087,Instagram,2024-01-09,Não Convertido,,0.0,Agressivo,Germany
62088,TikTok,2024-01-08,Não Convertido,,0.0,Conservador,Barbados
62089,Instagram,2024-01-13,Não Convertido,,0.0,Moderado,Singapore
62090,Orgânico,2024-01-12,Não Convertido,,0.0,Conservador,Turks and Caicos Islands
